CustomerID,Gender,Age,Annual Income (k$),Family_Size,Profession,location,Total,Spending Score (1-100),email_id
1,Male,19,15,4,Healthcare,gokak,1006,39,intizar_08@yahoo.co.in
2,Male,21,15,1,Engineer,nipani,8369,81,manu29809@gmail.com
3,Female,20,16,2,Lawyer,raibag,8956,6,pankajdhaka.dav@hotmail.com
4,Female,23,16,2,Artist,sambra,4534,77,pranav165@yahoo.com
5,Female,31,17,3,Healthcare,khanapur,9717,40,arya.anit3@gmail.com
6,Female,22,17,3,Healthcare,angol,9950,76,meetshrotriya@gmail.com
7,Female,35,18,3,Engineer,vadgaon,5127,6,manugarg1592@yahoo.in
8,Female,23,18,4,Artist,belgaum,2558,94,praveen_solanki29@yahoo.com
9,Male,64,19,3,Engineer,chikkodi,6898,3,tanmaysharma07@gmail.com
10,Female,30,19,4,Healthcare,sankeshwar,8564,72,kartikkumar781@gmail.com
11,Male,67,19,1,Doctor,rakaskop,6187,14,intizar_08@yahoo.co.in
12,Female,35,19,2,Healthcare,bailhongal,4734,99,manu29809@gmail.com
13,Female,58,20,5,Homemaker,bagewadi,7892,15,pankajdhaka.dav@hotmail.com
14,Female,24,20,6,Healthcare,gokak,8327,77,pranav165@yahoo.com
15,Male,37,20,4,Entertainment,khanapur,4938,13,arya.anit3@gmail.com
16,Male,22,20,1,Artist,angol,3479,79,meetshrotriya@gmail.com
17,Female,35,21,1,Homemaker,vadgaon,2060,35,manugarg1592@yahoo.in
18,Male,20,21,4,Healthcare,sambra,3842,66,praveen_solanki29@yahoo.com
19,Male,52,23,2,Artist,raibag,5624,29,tanmaysharma07@gmail.com
20,Female,35,23,2,Artist,sankeshwar,793,98,kartikkumar781@gmail.com
21,Male,35,24,3,Artist,belgaum,8244,35,intizar_08@yahoo.co.in
22,Male,25,24,8,Healthcare,vadgaon,4292,73,manu29809@gmail.com
23,Female,46,25,3,Artist,angol,9627,5,pankajdhaka.dav@hotmail.com
24,Male,31,25,1,Artist,khanapur,9374,73,pranav165@yahoo.com
25,Female,54,28,4,Artist,chikkodi,2045,14,arya.anit3@gmail.com
26,Male,29,28,3,Artist,bailhongal,8977,82,meetshrotriya@gmail.com
27,Female,45,28,2,Doctor,khanapur,714,32,manugarg1592@yahoo.in
28,Male,35,28,3,Healthcare,khanapur,2630,61,praveen_solanki29@yahoo.com
29,Female,40,29,2,Lawyer,bailhongal,802,31,tanmaysharma07@gmail.com
30,Female,23,29,4,Healthcare,sambra,5522,87,kartikkumar781@gmail.com
31,Male,60,30,1,Doctor,chikkodi,7111,4,intizar_08@yahoo.co.in
32,Female,21,30,5,Healthcare,chikkodi,5539,73,manu29809@gmail.com
33,Male,53,33,2,Artist,belgaum,662,4,pankajdhaka.dav@hotmail.com
34,Male,18,33,1,Artist,angol,3153,92,pranav165@yahoo.com
35,Female,49,33,2,Healthcare,angol,200,14,arya.anit3@gmail.com
36,Female,21,33,3,Artist,vadgaon,6254,81,meetshrotriya@gmail.com
37,Female,42,34,2,Artist,khanapur,4581,17,manugarg1592@yahoo.in
38,Female,30,34,1,Engineer,nipani,4646,73,praveen_solanki29@yahoo.com
39,Female,36,37,4,Artist,nipani,7106,26,tanmaysharma07@gmail.com
40,Female,20,37,4,Healthcare,gokak,2538,75,kartikkumar781@gmail.com
41,Female,65,38,1,Engineer,nipani,1691,35,intizar_08@yahoo.co.in
42,Male,24,38,2,Artist,raibag,8340,92,manu29809@gmail.com
43,Male,48,39,2,Artist,sambra,2518,36,pankajdhaka.dav@hotmail.com
44,Female,31,39,1,Artist,khanapur,3901,61,pranav165@yahoo.com
45,Female,49,39,2,Entertainment,angol,8161,28,arya.anit3@gmail.com
46,Female,24,39,1,Marketing,vadgaon,6325,65,meetshrotriya@gmail.com
47,Female,50,40,2,Artist,belgaum,7848,55,manugarg1592@yahoo.in
48,Female,27,40,4,Healthcare,chikkodi,674,47,praveen_solanki29@yahoo.com
49,Female,29,40,3,Artist,sankeshwar,8070,42,tanmaysharma07@gmail.com
50,Female,31,40,2,Artist,rakaskop,1070,42,kartikkumar781@gmail.com
51,Female,49,42,2,Artist,bailhongal,1105,52,intizar_08@yahoo.co.in
52,Male,33,42,3,Lawyer,bagewadi,5526,60,manu29809@gmail.com
53,Female,31,43,2,Lawyer,gokak,2295,54,pankajdhaka.dav@hotmail.com
54,Male,59,43,2,Lawyer,khanapur,8841,60,pranav165@yahoo.com
55,Female,50,43,2,Entertainment,angol,6043,45,arya.anit3@gmail.com
56,Male,47,43,2,Doctor,vadgaon,9082,41,meetshrotriya@gmail.com
57,Female,51,44,4,Artist,sambra,6373,50,manugarg1592@yahoo.in
58,Male,69,44,4,Artist,raibag,620,46,praveen_solanki29@yahoo.com
59,Female,27,46,2,Healthcare,sankeshwar,8599,51,tanmaysharma07@gmail.com
60,Male,53,46,2,Entertainment,belgaum,3304,46,kartikkumar781@gmail.com
61,Male,70,46,5,Artist,vadgaon,9135,56,intizar_08@yahoo.co.in
62,Male,19,46,4,Healthcare,angol,4276,55,manu29809@gmail.com
63,Female,67,47,4,Artist,khanapur,9219,52,pankajdhaka.dav@hotmail.com
64,Female,54,47,3,Homemaker,chikkodi,7446,59,pranav165@yahoo.com
65,Male,63,48,2,Doctor,bailhongal,3126,51,arya.anit3@gmail.com
66,Male,18,48,3,Artist,khanapur,6624,59,meetshrotriya@gmail.com
67,Female,43,48,2,Engineer,khanapur,3306,50,manugarg1592@yahoo.in
68,Female,68,48,4,Healthcare,bailhongal,219,48,praveen_solanki29@yahoo.com
69,Male,19,48,3,Healthcare,sambra,4060,59,tanmaysharma07@gmail.com
70,Female,32,48,1,Artist,chikkodi,7619,47,kartikkumar781@gmail.com
71,Male,70,49,4,Entertainment,chikkodi,9653,55,intizar_08@yahoo.co.in
72,Female,47,49,3,Marketing,belgaum,7795,42,manu29809@gmail.com
73,Female,60,50,5,Healthcare,angol,4062,49,pankajdhaka.dav@hotmail.com
74,Female,60,50,3,Artist,angol,9145,56,pranav165@yahoo.com
75,Male,59,54,2,Artist,vadgaon,7737,47,arya.anit3@gmail.com
76,Male,26,54,3,Entertainment,khanapur,3037,54,meetshrotriya@gmail.com
77,Female,45,54,2,Doctor,nipani,6964,53,manugarg1592@yahoo.in
78,Male,40,54,3,Entertainment,nipani,4247,48,praveen_solanki29@yahoo.com
79,Female,23,54,4,Artist,gokak,4311,52,tanmaysharma07@gmail.com
80,Female,49,54,2,Artist,nipani,3027,42,kartikkumar781@gmail.com
81,Male,57,54,2,Entertainment,raibag,1398,51,intizar_08@yahoo.co.in
82,Male,38,54,1,Artist,sambra,9109,55,manu29809@gmail.com
83,Male,67,54,1,Artist,khanapur,8049,41,pankajdhaka.dav@hotmail.com
84,Female,46,54,2,Artist,angol,2818,44,pranav165@yahoo.com
85,Female,21,54,2,Doctor,vadgaon,8785,57,arya.anit3@gmail.com
86,Male,48,54,3,Engineer,belgaum,3522,46,meetshrotriya@gmail.com
87,Female,55,57,4,Artist,chikkodi,3436,58,manugarg1592@yahoo.in
88,Female,22,57,7,Executive,sankeshwar,6127,55,praveen_solanki29@yahoo.com
89,Female,34,58,3,Artist,rakaskop,1969,60,tanmaysharma07@gmail.com
90,Female,50,58,5,Executive,bailhongal,2029,46,kartikkumar781@gmail.com
91,Female,68,59,2,Healthcare,bagewadi,4350,55,intizar_08@yahoo.co.in
92,Male,18,59,2,Doctor,gokak,2170,41,manu29809@gmail.com
93,Male,48,60,2,Homemaker,khanapur,9122,49,pankajdhaka.dav@hotmail.com
94,Female,40,60,1,Lawyer,angol,7551,40,pranav165@yahoo.com
95,Female,32,60,3,Healthcare,vadgaon,4823,42,arya.anit3@gmail.com
96,Male,24,60,1,Artist,sambra,4888,52,meetshrotriya@gmail.com
97,Female,47,60,1,Artist,raibag,920,47,manugarg1592@yahoo.in
98,Female,27,60,3,Executive,sankeshwar,984,50,praveen_solanki29@yahoo.com
99,Male,48,61,4,Executive,belgaum,7610,42,tanmaysharma07@gmail.com
100,Male,20,61,1,Lawyer,vadgaon,7606,49,kartikkumar781@gmail.com
